,county_fips,state_officer_id,black_stop_percentage,black_stops,hispanic_stop_percentage,hispanic_stops,other_stop_percentage,other_stops,white_stop_percentage,white_stops,total_population,white,black,asian,hispanic,other,white_percentage,black_percentage,hispanic_percentage,asian_percentage,other_percentage
4537,45055,sc49,0.35714285714285715,10.0,,,,,0.6428571428571429,18.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4538,45055,sc5,0.4878048780487805,40.0,0.012195121951219513,1.0,,,0.5,41.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4539,45055,sc52,0.4,2.0,,,,,0.6,3.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4540,45055,sc60,0.6666666666666666,20.0,,,,,0.3333333333333333,10.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4541,45055,sc673,0.3802083333333333,3650.0,0.031145833333333334,299.0,0.0020833333333333333,20.0,0.5865625,5631.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4542,45055,sc70,0.5668202764976958,123.0,0.004608294930875576,1.0,0.004608294930875576,1.0,0.423963133640553,92.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4543,45055,sc708,0.3285302593659942,114.0,0.01729106628242075,6.0,0.002881844380403458,1.0,0.6512968299711815,226.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4544,45055,sc783,1.0,1.0,,,,,,,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4545,45055,sc79,0.6612903225806451,41.0,,,,,0.3387096774193548,21.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4546,45055,sc882,0.3468877483879458,2636.0,0.029740755362547704,226.0,0.007632583234636136,58.0,0.6157389130148704,4679.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
4547,45055,sc919,0.5,8.0,0.0625,1.0,,,0.4375,7.0,63090,43596,15300,303,2905,142,0.6910128388017118,0.24251069900142652,0.046045332065303535,0.004802662862577271,0.002250752892692978
